"Sample","sc-enriched","Ca A1","Ca B","Ca A2"
"LNEN237_TU",0.194148109637821,0.0237674605631597,0.748616819963655,0.0334676098353647
"LNEN238_TU",0.271749162544686,0.38227401390576,0.280653747052296,0.0653230764972573
"LNEN239_TU",0.128699764052439,0,0.843284357366496,0.0280158785810657
"LNEN240_TU",0.305549264249634,0,0.66022480992555,0.0342259258248159
"LNEN241_TU",0.380365663400312,0.0547373588973728,0.0286628435290195,0.536234134173296
"LNEN243_TU",0.108915844947395,0,0.0591767927358615,0.831907362316744
"LNEN244_TU",0.258972572829511,0.104375371228824,0.0289852368526938,0.607666819088971
"LNEN245_TU",0.0687210671301161,0.0808878128467927,0.0363387882169285,0.814052331806163
"LNEN246_TU",0,0,0.105843287920549,0.894156712079451
"LNEN247_TU",0.0948089294122911,0.0366790539473452,0.00546383848486409,0.863048178155499
"LNEN248_TU",0.137074381760524,0.094619554499197,0,0.768306063740279
"LNEN249_TU",0.235776846391093,0.692400107353559,0.0487165905108103,0.0231064557445384
"LNEN250_TU",0.22038813031296,0.0607030692936952,0.146820328182421,0.572088472210923
"LNEN251_TU1",0,0.0535283693040553,0.914733990809848,0.0317376398860966
"LNEN252_TU",0.060491314843224,0.0319095863076734,0.907599098849103,0
"LNEN253_TU",0.324435188440675,0.075028844552901,0.0813012711982852,0.519234695808138
"LNEN255_TU",0.0827316331430299,0.75773120578634,0.15953716107063,0
"LNEN258_TU",0.0734913452345261,0.0797906646508129,0.846717990114661,0
"LNEN263_TU",0.0352506426803125,0.0582999794441458,0.0118209043209141,0.894628473554627
"LNEN268_TU",0.0700546472856267,0.00230299156108366,0.0207434890024832,0.906898872150806
"LNEN269_TU",0.177166542288064,0.782605125838937,0.0402283318729987,0
"LNEN270_TU",0.115401886415065,0.0180218184102438,0.0139297990657619,0.852646496108929
"LNEN272_TU",0.0357055840829112,0.83350613119087,0.0643919910527271,0.0663962936734921
"LNEN273_TU",0.12174131488172,0.702024752042622,0.00314743209146262,0.173086500984195
"LNEN274_TU",0.242980930491806,0,0.711716361309413,0.0453027081987806
"LNEN276_TU",0.196682656012529,0.78171789164683,0.0215994523406408,0
"LNEN277_TU",0.219849785751983,0.102170913826248,0.630197728729688,0.0477815716920807
"LNEN278s1_TU1",0.97458304128229,0,0.0254169587177095,0
"LNET10T",0.64049271359198,0.056599816437806,0.124736559699044,0.17817091027117
"LNET13T",0.0416362700784747,0.72120572606664,0.0871032024710205,0.150054801383865
"LNET14T",0.318918659446351,0.584757934380086,0.041722244754086,0.0546011614194763
"LNET16T",0.435440651456809,0.394584310245286,0.11519017129075,0.0547848670071538
"LNET19T",0.296188335967788,0,0,0.703811664032212
"LNET2T",0.158619158715838,0.235646920779359,0.315754070004809,0.289979850499994
"LNET5T",0.136234802800043,0.805612652997065,0.0581525442028915,0
"LNET6T",0.0783736295783423,0.796166024781204,0.0210862245844528,0.104374121056001
"Lu_Aty2",0.895590948301932,0,0.104409051698068,0
"S00016",0.00533531416404931,0.952183481652658,0.00851038984456315,0.0339708143387302
"S00076",0.243919326703427,0.632069270979634,0.108989542430619,0.0150218598863195
"S00089",0.0701316700304974,0.344809140934298,0.585059189035205,0
