sample_id	K4_sce_proportion	K4_A1_proportion	K4_B_proportion	K4_A2_proportion	archetype_k4_LF3_label
LNEN173_TU	0	0	0.0128942839767276	0.987105716023272	Ca A2
LNEN174_TU	0.029687195570979	0.0447433579766151	0.898462105528214	0.0271073409241921	Ca B
LNEN175_TU	0.174470571158528	0.570505536711138	0.0599146791823684	0.195109212947966	Ca A1
LNEN176_TU	0.238183440389338	0.640143709715572	0.047159371212116	0.0745134786829745	Ca A1
LNEN177_TU	0.0433087455680105	0.0112828114636046	0.1423023938491	0.803106049119285	Ca A2
LNEN178_TU	0.159150225964105	0.809446779104423	0	0.0314029949314721	Ca A1
LNEN179_TU	0.385375586267343	0.56897020837607	0.0456542053565865	0	Ca A1
LNEN180_TU	0.894121836934784	0.00959301574529195	0.054344368557505	0.0419407787624191	sc-enriched
LNEN181_TU	0	0.827070180102762	0.0737428368675234	0.0991869830297145	Ca A1
LNEN182_TU	0.257641331732383	0.630237285218486	0.084153411591095	0.027967971458036	Ca A1
LNEN183_TU	0	0.0353012217263584	0.962178443187413	0.00252033508622831	Ca B
LNEN184_TU	0.234600785614124	0.00910023790080794	0.00651690977797414	0.749782066707094	Ca A2
LNEN185_TU	0.350900523424055	0.00997846892286713	0.639121007653078	0	Ca B
LNEN187_TU	0.227511014080592	0	0	0.772488985919408	Ca A2
LNEN188_TU	0.272332237461125	0.0650495911415014	0.492458740359038	0.170159431038336	Ca B
LNEN190_TU	0.136866038604594	0.800438499068265	0.0478419397919338	0.0148535225352074	Ca A1
LNEN191_TU	0.087309017448533	0.0739198982149774	0.0365525806611233	0.802218503675366	Ca A2
LNEN192_TU	0.116447709444373	0.764655712660225	0.057443608602787	0.0614529692926152	Ca A1
LNEN193_TU	0.161281234662046	0.71215741403275	0.0441942301857205	0.0823671211194835	Ca A1
LNEN194_TU	0.127087320095009	0.0678801411422489	0.795508645273165	0.00952389348957766	Ca B
LNEN195_TU	0.312559980578213	0.687440019421787	0	0	Ca A1
LNEN196_TU	0.143147618325434	0.79521707581901	0.0415530428423135	0.0200822630132419	Ca A1
LNEN197_TU	0.177506439372672	0.777754749013711	0.0321021957339377	0.01263661587968	Ca A1
LNEN198_TU	0.0907062803093749	0.666742104750964	0.198956252173279	0.0435953627663816	Ca A1
LNEN199_TU	0.108254853047768	0.0363094336901732	0	0.855435713262058	Ca A2
LNEN201_TU	0.147180028547684	0.463907234608411	0.388912736843905	0	Ca A1
LNEN202_TU	0.15093430977714	0.0315538384978849	0.0289875171676144	0.788524334557361	Ca A2
LNEN203_TU	0.175586617904563	0.0846663987922441	0.128720786196449	0.611026197106744	Ca A2
LNEN204_TU	0.107408952917248	0.0562130598861546	0.0801625107753835	0.756215476421214	Ca A2
LNEN205_TU	0.274502575465157	0.653809109500244	0.033292632861087	0.0383956821735119	Ca A1
LNEN206_TU	0.957986317148751	0	0.0211510647417505	0.0208626181094986	sc-enriched
LNEN207_TU	0.0104664108282903	0.743096744626691	0.0962097830778662	0.150227061467152	Ca A1
LNEN208_TU	0.0808999963588769	0.800455849930029	0.0603122232770363	0.0583319304340576	Ca A1
LNEN209_TU	0.133272138050766	0.029804030881599	0.836923831067635	0	Ca B
LNEN210_TU	0	0.775787123284055	0.224212876715945	0	Ca A1
LNEN211_TU	0.222119046342776	0.0512130455554029	0.00957267486328992	0.717095233238531	Ca A2
LNEN212_TU	0.306388960545268	0.558513521922276	0.100181788418184	0.0349157291142714	Ca A1
LNEN213_TU	0.240587365946498	0.0131020312115069	0	0.746310602841995	Ca A2
LNEN214_TU	0.341619364603246	0.266247518980009	0.392133116416744	0	Ca B
LNEN215_TU	0	0.871181996341798	0.128818003658202	0	Ca A1
